"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18","11,470.75","11,364.45","11,492.60","11,235.85","-","1.01%"
"Jul 18","11,356.50","10,732.35","11,366.00","10,604.65","5.29B","5.99%"
"Jun 18","10,714.30","10,738.45","10,893.25","10,550.90","4.83B","-0.20%"
"May 18","10,736.15","10,783.85","10,929.20","10,417.80","5.50B","-0.03%"
"Apr 18","10,739.35","10,151.65","10,759.00","10,111.30","4.95B","6.19%"
"Mar 18","10,113.70","10,479.95","10,525.50","9,951.90","4.52B","-3.61%"
"Feb 18","10,492.85","11,044.55","11,117.35","10,276.30","4.53B","-4.85%"
"Jan 18","11,027.70","10,531.70","11,171.55","10,404.65","4.84B","4.72%"
"Dec 17","10,530.70","10,263.70","10,552.40","10,033.35","3.61B","2.97%"
"Nov 17","10,226.55","10,390.35","10,490.45","10,094.00","4.79B","-1.05%"
"Oct 17","10,335.30","9,893.30","10,384.50","9,831.05","4.64B","5.59%"
"Sep 17","9,788.60","9,937.65","10,178.95","9,687.55","4.29B","-1.30%"
"Aug 17","9,917.90","10,101.05","10,137.85","9,685.55","4.30B","-1.58%"
"Jul 17","10,077.10","9,587.95","10,114.85","9,543.55","3.85B","5.84%"
"Jun 17","9,520.90","9,603.55","9,709.30","9,448.75","3.67B","-1.04%"
"May 17","9,621.25","9,339.85","9,649.60","9,269.90","4.68B","3.41%"
"Apr 17","9,304.05","9,220.60","9,367.15","9,075.15","3.15B","1.42%"
"Mar 17","9,173.75","8,904.40","9,218.40","8,860.10","4.98B","3.31%"
"Feb 17","8,879.60","8,570.35","8,982.15","8,537.50","4.53B","3.72%"
"Jan 17","8,561.30","8,210.10","8,672.70","8,133.80","4.13B","4.59%"
"Dec 16","8,185.80","8,244.00","8,274.95","7,893.80","3.22B","-0.47%"
"Nov 16","8,224.50","8,653.15","8,669.60","7,916.40","4.73B","-4.65%"
"Oct 16","8,625.70","8,666.15","8,806.95","8,506.15","3.26B","0.17%"
"Sep 16","8,611.15","8,793.60","8,968.70","8,555.20","4.02B","-1.99%"
"Aug 16","8,786.20","8,654.30","8,819.20","8,518.15","4.22B","1.71%"
